Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
90000,1.419283,775.3333333333334,0.10698333,1.6071161429087322,1.6071161429087322,1.0
93000,1.4192832,618.5,0.19881393,0.7932072132825851,0.7932072132825851,1.0
96000,1.419283,551.0,0.12015168,2.0056096792221068,2.0056096792221068,1.0
99000,1.419283,589.2,0.18587449,1.3131530284881592,1.3131530284881592,1.0
102000,1.419283,636.0,0.104437426,0.37714459002017975,0.37714459002017975,1.0
105000,1.4192156,498.875,0.27728465,0.9759028653303782,0.9759028653303782,1.0
108000,1.4186336,695.0,0.16353533,2.2540158867835998,2.2540158867835998,1.0
111000,1.4186336,822.5,0.12712742,2.2610584795475006,2.2610584795475006,1.0
114000,1.4186336,645.8,0.15898004,1.7462459564208985,1.7462459564208985,1.0
117000,1.4186337,479.4,0.27833274,0.083153235912323,0.083153235912323,1.0
120000,1.4186337,766.0,0.19259211,1.2731523871421815,1.2731523871421815,1.0
123000,1.4186337,592.8,0.24228844,1.8438263893127442,1.8438263893127442,1.0
126000,1.4185615,526.0,0.2537874,0.8969704627990722,0.8969704627990722,1.0
129000,1.418484,577.2,0.29037654,1.5537708759307862,1.5537708759307862,1.0
132000,1.4184839,677.5,0.18005784,2.7444157004356384,2.7444157004356384,1.0
135000,1.418484,467.85714285714283,0.24402533,2.6962025506155833,2.6962025506155833,1.0
138000,1.418484,709.0,0.20519523,2.112194228172302,2.112194228172302,1.0
141000,1.4184839,590.75,0.20895535,1.8883164525032043,1.8883164525032043,1.0
144000,1.4184837,438.0,0.29010126,1.1662838533520699,1.1662838533520699,1.0
147000,1.4186982,445.0,0.21423247,1.9173364639282227,1.9173364639282227,1.0
150000,1.4191947,660.6,0.25786394,2.00698504447937,2.00698504447937,1.0
153000,1.4191943,624.2,0.2539571,2.597050166130066,2.597050166130066,1.0
156000,1.4191945,320.625,0.349737,1.710776586085558,1.710776586085558,1.0
159000,1.4191943,598.4,0.2978235,2.069488859176636,2.069488859176636,1.0
162000,1.4191945,438.125,0.3008309,1.479349933564663,1.479349933564663,1.0
165000,1.4191945,558.4,0.305033,2.116627907752991,2.116627907752991,1.0
168000,1.4195712,609.5,0.32823232,2.1085551023483275,2.1085551023483275,1.0
171000,1.4200459,581.0,0.28794587,1.457126009464264,1.457126009464264,1.0
174000,1.4200459,388.0,0.34364194,1.876935703413827,1.876935703413827,1.0
177000,1.4200457,739.0,0.340503,3.53265643119812,3.53265643119812,1.0
180000,1.4200459,618.6666666666666,0.2981701,1.8295235733191173,1.8295235733191173,1.0
183000,1.4200459,325.2857142857143,0.3855812,2.3071467195238387,2.3071467195238387,1.0
186000,1.4200459,363.55555555555554,0.32776335,1.8959285550647311,1.8959285550647311,1.0
189000,1.420161,565.8,0.3620389,2.1763317942619325,2.1763317942619325,1.0
